operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",180000,USD,2729232,180000,120,110,1500,1636.363636,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,250000,USD,3790600,250000,117,120,2136.752137,2083.333333,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658073",410000,USD,6216584,410000,410,220,1000,1863.636364,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669503",180000,USD,2729232,180000,200,135,900,1333.333333,,5,
sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",129000,USD,1955949.6,129000,76,70,1697.368421,1842.857143,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6177676,-58.5663939",120000,USD,1819488,120000,180,180,666.6666667,666.6666667,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558611,-58.6167212",55000,USD,833932,55000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6552091,-58.69732",130000,USD,1971112,130000,300,140,433.3333333,928.5714286,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,200000,USD,3032480,200000,61,48,3278.688525,4166.666667,,2,3400
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6389789,-58.500115",87000,USD,1319128.8,87000,48,42,1812.5,2071.428571,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,120000,USD,1819488,120000,150,100,800,1200,,3,
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6050060697,-58.4001162302",60000,USD,909744,60000,28,28,2142.857143,2142.857143,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6521726,-58.5778671",230000,USD,3487352,230000,290,230,793.1034483,1000,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.447931,-58.5525002",190000,USD,2880856,190000,,,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6445852,-58.5940404",70000,USD,1061368,70000,55,55,1272.727273,1272.727273,3,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|Guernica|,,350000,USD,5306840,350000,0,360,,972.2222222,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,95000,USD,1440428,95000,,48,,1979.166667,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9134724,-57.9788854",,,,,,,,,,,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5646269,-58.4412741",600000,USD,9097440,600000,220,,2727.272727,,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6555763,-58.5728642",47000,USD,712632.8,47000,,,,,,,
